file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
smackdown2__amd_para_1_dm3_band.qwd	self_pov	band	team/4on4	88327	0.8102	0.8016	0.549	166.25	0.0003	1236.187988	71.451	True
smackdown__saqfacel0d_lod_vs_fith_dm3.qwd	self_pov	saqfacel0d	team/4on4	88325	0.8499	0.8468	0.269	179.32	0.0002	1229.272949	71.851	True
smackdown2__DN_RC_1_dm3_Hangtime.qwd	self_pov	hangtime	team/4on4	88254	0.7448	0.7436	0.445	178.44	0.0004	1235.847046	71.412	True
smackdown2__dn_v_rc-dm3_ht-_sd2_.qwd	self_pov	ht	team/4on4	88254	0.7448	0.7436	0.445	178.44	0.0004	1235.847046	71.412	True
smackdown2__tdi_fe_1_dm3_dark.qwd	self_pov	dark	team/4on4	88171	0.7988	0.7988	0.401	162.28	0.0002	1225.142944	71.968	True
SmackDown4__game_750__sr__cmf_1_dm3_fifi.qwd	self_pov	fifi	team/4on4	88014	0.7968	0.7957	0.225	179.38	0.0006	1233.750977	71.339	True
smackdown__exile_e3_dm3-3.qwd	self_pov	e3	team/4on4	88012	0.6913	0.6772	0.264	179.45	0.0005	1231.901978	71.444	True
SmackDown4__game_658_z___3_dm3_thechosenone.qwd	self_pov	thechosenone	team/4on4	88002	0.8222	0.8127	0.396	178.72	0.0003	1261.572021	69.756	True
smackdown2__E_vs_ns_Goljat_dm3.qwd	self_pov	e	team/4on4	87999	0.7849	0.7849	0.401	179.1	0.0002	1232.381958	71.406	True
smackdown__Goljat_e_vs__ff__dm3_round5.qwd	self_pov	round5	team/4on4	87980	0.8382	0.8382	0.423	179.91	0.0006	1231.338989	71.451	True
smackdown2__FF_OC_1_dm3_Jerry.qwd	self_pov	jerry	team/4on4	87978	0.7317	0.7317	0.247	180.0	0.0003	1232.255981	71.396	True
smackdown2__oc_d_1_dm3_hatti.qwd	self_pov	hatti	team/4on4	87964	0.7542	0.7542	0.302	173.62	0.0002	1221.930054	71.988	True
